NodeIndex,PredictedRiskScore
0,1.6712052
1,1.9637129
2,1.8981111
3,1.861052
4,1.8601174
5,1.8572775
6,1.8542851
7,1.8514843
8,1.8488581
9,1.8461807
10,1.8429537
11,1.838793
12,1.8341682
13,1.8299233
14,1.8259978
15,1.8217697
16,1.8168937
17,1.812026
18,1.8076694
19,1.8037994
20,1.8003545
21,1.7973921
22,1.795054
23,1.7934473
24,1.7924695
25,1.7919569
26,1.791755
27,1.7918917
28,1.7923343
29,1.7929454
30,1.7935162
31,1.79404
32,1.7946854
33,1.7956195
34,1.7968342
35,1.7982435
36,1.7996299
37,1.800663
38,1.8011049
39,1.8010998
40,1.8003933
41,1.798837
42,1.7961152
43,1.792573
44,1.7885945
45,1.7847905
46,1.7814164
47,1.7783501
48,1.7751429
49,1.771769
50,1.7685122
51,1.7657862
52,1.763823
53,1.7624879
54,1.7616689
55,1.7613244
56,1.761657
57,1.7624444
58,1.7631484
59,1.7632617
60,1.7627509
61,1.761989
62,1.7611034
63,1.7602367
64,1.7594026
65,1.7590733
66,1.7594514
67,1.7607074
68,1.7625707
69,1.7648001
70,1.7671802
71,1.7696705
72,1.7720803
73,1.7741756
74,1.7758224
75,1.7773747
76,1.7790918
77,1.781049
78,1.783201
79,1.7856475
80,1.788518
81,1.7915707
82,1.7947752
83,1.7977611
84,1.8002179
85,1.8009983
86,1.7994258
87,1.7947387
88,1.7871959
89,1.7772386
90,1.7659423
91,1.7541134
92,1.7426047
93,1.7320503
94,1.7227869
95,1.7145433
96,1.7068056
97,1.6993822
98,1.6925576
99,1.6869266
100,1.6830323
101,1.6812017
102,1.6812203
103,1.6825209
104,1.6847582
105,1.6878788
106,1.6919692
107,1.697397
108,1.7047286
109,1.7145083
110,1.7260432
111,1.7382796
112,1.7503121
113,1.7615981
114,1.7715874
115,1.7798721
116,1.7869112
117,1.7935266
118,1.8002505
119,1.8071828
120,1.8147863
121,1.8236134
122,1.8342252
123,1.8460994
124,1.8589911
125,1.872595
126,1.8862907
127,1.8986778
128,1.9080932
129,1.914582
130,1.9189303
131,1.9224412
132,1.9252528
133,1.9271796
134,1.9277041
135,1.9270403
136,1.9256437
137,1.9239922
138,1.9221036
139,1.9197994
140,1.9172645
141,1.9147687
142,1.9127135
143,1.911319
144,1.9106548
145,1.9108326
146,1.911813
147,1.9137783
148,1.9168003
149,1.9208943
150,1.925816
151,1.9311421
152,1.9366714
153,1.9423299
154,1.9482
155,1.9541887
156,1.9602778
157,1.9663572
158,1.9723573
159,1.9781787
160,1.9838984
161,1.9894047
162,1.9944272
163,1.9987385
164,2.0025127
165,2.006198
166,2.0098295
167,2.0131433
168,2.015589
169,2.017102
170,2.0178072
171,2.0180235
172,2.0180655
173,2.0181973
174,2.0186453
175,2.019647
176,2.0214162
177,2.0241525
178,2.0276704
179,2.031761
180,2.0363386
181,2.0413084
182,2.0466325
183,2.0520072
184,2.0573583
