NodeIndex,PredictedRiskScore
0,1.6319106
1,1.9310818
2,1.8626025
3,1.8204589
4,1.8200021
5,1.8191307
6,1.8179958
7,1.8169448
8,1.8159928
9,1.8150632
10,1.8136591
11,1.8113029
12,1.8081021
13,1.8038936
14,1.7986033
15,1.7918332
16,1.7842934
17,1.7767594
18,1.7698345
19,1.7634836
20,1.7576237
21,1.752357
22,1.7478514
23,1.7442391
24,1.7413669
25,1.7390418
26,1.7370694
27,1.7354624
28,1.7341839
29,1.7331128
30,1.7320373
31,1.7309439
32,1.7300093
33,1.7294514
34,1.7292725
35,1.729349
36,1.7293985
37,1.729049
38,1.7280598
39,1.7265959
40,1.7250571
41,1.7236607
42,1.7220389
43,1.7198765
44,1.7171865
45,1.7146621
46,1.7125919
47,1.710855
48,1.7089441
49,1.7068489
50,1.7048993
51,1.703572
52,1.7031146
53,1.7033617
54,1.7041785
55,1.7055142
56,1.7075934
57,1.7101567
58,1.7125804
59,1.7142655
60,1.7151556
61,1.7156811
62,1.7160236
63,1.7163846
64,1.7167954
65,1.7177753
66,1.7195404
67,1.7222939
68,1.7257571
69,1.7296607
70,1.733734
71,1.7378929
72,1.7419014
73,1.7454835
74,1.7484875
75,1.7513263
76,1.7543178
77,1.7575588
78,1.7609948
79,1.7647505
80,1.7689962
81,1.7734759
82,1.77813
83,1.7825153
84,1.786274
85,1.788135
86,1.787345
87,1.7830544
88,1.7755513
89,1.7653198
90,1.7535367
91,1.7410698
92,1.7288756
93,1.7176759
94,1.7078671
95,1.6991525
96,1.6909726
97,1.6831241
98,1.6759208
99,1.6700122
100,1.6660016
101,1.6642531
102,1.6645222
103,1.6661534
104,1.6687667
105,1.6723342
106,1.6770017
107,1.6831977
108,1.6915431
109,1.7026304
110,1.7156937
111,1.7295685
112,1.7432474
113,1.7560956
114,1.7674755
115,1.7768915
116,1.784833
117,1.7922133
118,1.7996583
119,1.8073156
120,1.8157182
121,1.8254849
122,1.8372586
123,1.8504624
124,1.8648229
125,1.8799763
126,1.8952122
127,1.908951
128,1.9193177
129,1.9263628
130,1.9309673
131,1.9346116
132,1.9374638
133,1.9393237
134,1.939601
135,1.9385178
136,1.9365745
137,1.9343048
138,1.9317489
139,1.9287131
140,1.9254184
141,1.9221747
142,1.9194652
143,1.9175524
144,1.9164963
145,1.91639
146,1.9171796
147,1.9190912
148,1.9222195
149,1.9265712
150,1.9318556
151,1.9375882
152,1.9435431
153,1.9496324
154,1.9559253
155,1.9623058
156,1.968749
157,1.9751469
158,1.9814243
159,1.9874845
160,1.993443
161,1.9992114
162,2.0045118
163,2.0090868
164,2.0131185
165,2.0170844
166,2.020988
167,2.0244973
168,2.0269752
169,2.0283694
170,2.0288415
171,2.028766
172,2.0284865
173,2.0283043
174,2.02848
175,2.0292933
176,2.0309887
177,2.0337942
178,2.0374973
179,2.0418568
180,2.046776
181,2.0521452
182,2.0579348
183,2.063811
184,2.06971
185,2.0753806
186,2.0807862
187,2.085996
188,2.0913048
189,2.0968056
190,2.1021252
191,2.106434
192,2.1091228
193,2.109595
194,2.107937
195,2.1040437
196,2.0985024
197,2.0918584
198,2.0850058
199,2.078739
200,2.0734968
201,2.069457
202,2.0664282
203,2.0645576
204,2.0639932
205,2.0651653
206,2.0679939
207,2.072359
208,2.077445
209,2.0825205
210,2.0869322
211,2.0907884
212,2.0941694
213,2.0966988
214,2.0980017
215,2.098059
216,2.0974772
217,2.0962934
218,2.0943017
219,2.0913386
220,2.0875912
221,2.0835984
222,2.079908
223,2.077012
224,2.0748954
225,2.0732596
226,2.0719063
227,2.0708025
228,2.0697472
229,2.068388
230,2.0665736
231,2.0642164
232,2.0609035
233,2.056287
234,2.0505028
235,2.04426
236,2.0377722
237,2.0308478
238,2.0233588
239,2.015597
240,2.0079784
241,2.0007422
242,1.9940369
243,1.9879255
244,1.9823594
245,1.9771615
246,1.9720368
247,1.9667845
248,1.9616804
249,1.9572908
250,1.9540968
251,1.9518137
252,1.9501863
253,1.9489961
254,1.9484665
255,1.9484494
256,1.9487934
257,1.9492142
258,1.9500098
259,1.9516108
260,1.9543159
261,1.9578884
262,1.961642
263,1.9649979
264,1.9675174
265,1.969073
266,1.969217
267,1.9671665
268,1.9623682
269,1.9551029
270,1.9461355
271,1.9362965
272,1.9259951
273,1.915693
274,1.9052162
275,1.8943672
276,1.8829379
277,1.8711336
278,1.8590916
279,1.8468575
280,1.8345542
281,1.8230164
282,1.8127952
283,1.8039727
284,1.7957451
285,1.7875307
286,1.7791468
287,1.7702
288,1.7603674
289,1.750004
290,1.7402811
291,1.7322001
292,1.7254608
293,1.7196183
294,1.7144794
295,1.7103318
296,1.7072239
297,1.7048702
298,1.7026517
299,1.6996512
300,1.6947207
301,1.6871026
302,1.6765215
303,1.6627011
304,1.6457307
305,1.6256016
306,1.6032974
307,1.5798569
308,1.555409
309,1.5295656
310,1.5015271
311,1.4723191
312,1.4430333
313,1.4148079
314,1.3881705
315,1.3637621
316,1.3418318
317,1.3221008
318,1.3050095
319,1.2913468
320,1.2820848
321,1.2766514
322,1.2741315
323,1.271703
324,1.2695208
325,1.2699149
326,1.2788136
327,1.2966195
328,1.3204508
329,1.3457386
330,1.3710352
331,1.3963506
332,1.4216945
333,1.4469416
334,1.4717885
335,1.4959204
336,1.5192808
337,1.5421584
338,1.5648556
339,1.5879052
340,1.6120889
341,1.6382015
342,1.6666777
343,1.697387
344,1.7301604
345,1.7645545
346,1.8000362
347,1.8362036
348,1.8732047
349,1.9113934
350,1.9504447
351,1.9882114
352,2.0222704
353,2.0509477
354,2.0745568
355,2.0939605
356,2.1101265
357,2.1241202
358,2.1364436
359,2.1471436
360,2.1558533
361,2.1629004
362,2.1692808
363,2.1756475
364,2.1813443
365,2.1849847
366,2.1858668
367,2.184663
368,2.1819522
369,2.1775973
370,2.1715267
371,2.1638272
372,2.1547925
373,2.1441174
374,2.132062
375,2.1188297
376,2.1047966
377,2.089939
378,2.0746245
379,2.0591803
380,2.0439522
381,2.029217
382,2.015287
383,2.0024855
384,1.9909511
385,1.9807082
386,1.971612
387,1.9630864
388,1.95386
389,1.9425461
390,1.9281511
391,1.9113122
392,1.8935378
393,1.8765962
394,1.8612483
395,1.8477912
396,1.8361077
397,1.8267868
398,1.8198111
399,1.8153248
400,1.8123212
401,1.8100564
402,1.8077817
403,1.8054454
404,1.8045874
405,1.8067467
406,1.8130633
407,1.8220874
408,1.8319709
409,1.8395612
410,1.8426297
411,1.8398812
412,1.8331506
413,1.8247774
414,1.8166103
415,1.8093398
416,1.8033442
417,1.7995412
418,1.7980373
419,1.7990801
420,1.8017707
421,1.8061467
422,1.8128579
423,1.822995
424,1.8365867
425,1.8522978
426,1.8693562
427,1.887543
428,1.9073184
429,1.9281787
430,1.9495761
431,1.970968
432,1.9923351
433,2.013684
434,2.0350215
435,2.0564666
436,2.0781736
437,2.100295
438,2.1227555
439,2.1454034
440,2.1680856
441,2.1907606
442,2.2134235
443,2.233784
444,2.2490866
445,2.2565787
446,2.25815
447,2.257867
448,2.2597942
449,2.2655716
450,2.2738855
451,2.2834249
452,2.2929494
453,2.302464
454,2.3119745
455,2.321486
456,2.3304148
457,2.3393846
458,2.3492594
459,2.3620808
460,2.3774748
461,2.3945804
462,2.411944
463,2.429316
464,2.446688
465,2.4642122
466,2.4824035
467,2.5016594
468,2.521526
469,2.540983
470,2.559319
471,2.57716
472,2.5953054
473,2.614296
474,2.6339817
475,2.6543512
476,2.675558
477,2.6977448
478,2.720734
479,2.7445264
480,2.7692604
481,2.795271
482,2.8208635
483,2.8443017
484,2.8641694
485,2.882122
486,2.8992548
487,2.9123917
488,2.9171207
489,2.910072
490,2.8956258
491,2.8775234
492,2.857548
493,2.833646
494,2.8048801
495,2.772884
496,2.7392309
497,2.7047367
498,2.6692538
499,2.6330566
500,2.5969658
501,2.5618827
502,2.5282297
503,2.4959097
504,2.4645731
505,2.4339454
506,2.4039533
507,2.374794
508,2.3470507
509,2.321303
510,2.2976458
511,2.2756202
512,2.2547994
513,2.2351887
514,2.217142
515,2.2008903
516,2.1862035
